id,name,x_m,y_m,type
1,1,0.0,0.0,marker
2,2,-4.5,0.0,marker
3,3,-9.0,0.0,marker
C,C,-12.6,0.0,corner
4,4,-13.5,0.0,marker
5,5,-18.0,0.0,marker
6,6,-22.71,0.0,marker
7,7,-27.21,0.0,marker
8,8,-31.71,0.0,marker
9,9,-36.21,0.0,marker
10,10,-40.71,0.0,marker
A,A,-42.96,0.0,corner
11,11,-45.21,0.0,marker
12,12,-49.71,0.0,marker
13,13,-54.02,0.0,marker
14,14,-58.52,0.0,marker
15,15,-63.02,0.0,marker
16,16,-67.52000000000001,0.0,marker
17,17,-72.02000000000001,0.0,marker
18,18,-76.52000000000001,0.0,marker
19,19,-81.02000000000001,0.0,marker
20,20,-85.52000000000001,0.0,marker
K,K,-88.67000000000002,0.0,corner
22,22,-12.6,-3.6,marker
23,23,-12.6,-9.0,marker
21,21,-88.67000000000002,2.55,marker
24,24,-42.96,-2.93,marker
25,25,-45.21,-3.6,marker
26,26,-45.21,-9.0,marker
27,27,-45.21,2.93,marker
B,B,-42.96,2.93,corner
28,28,-42.96,3.83,marker
29,29,-42.96,8.33,marker
